Country Name	Indicator Name	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
El Salvador	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	33.7000007629	33.5	33.2000007629	35	35.0999984741	32.7000007629	30.6000003815	30.1000003815	35.2999992371	33.5	32.5999984741	31.7000007629	30.7999992371	33	31.2999992371	32.0999984741	32.9000015259	30.6000003815	32.9000015259	32.7000007629	33.7000007629	33.7999992371	34	
Equatorial Guinea	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	64.5999984741	64.8000030518	65	65.0999984741	65.1999969482	65.0999984741	65	64.9000015259	64.6999969482	64.5999984741	64.4000015259	64.1999969482	64	63.9000015259	63.7000007629	63.7000007629	63.5999984741	63.7000007629	63.7000007629	63.7999992371	63.7999992371	63.9000015259	63.9000015259	
Eritrea	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	75.4000015259	75.4000015259	75.4000015259	75.4000015259	75.4000015259	75.3000030518	75.1999969482	75.0999984741	75	74.8000030518	74.5999984741	74.5	74.3000030518	74.1999969482	74.0999984741	74.0999984741	74.0999984741	74.1999969482	74.3000030518	74.3000030518	74.4000015259	74.4000015259	74.3000030518	
Estonia	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	49.5999984741	48	46.5	44.9000015259	43.2000007629	41.2999992371	38.7999992371	36.4000015259	34.9000015259	31.2000007629	30.5	32.2999992371	24.8999996185	27.8999996185	29.7000007629	29.8999996185	30.8999996185	32.7999992371	38.0999984741	34.9000015259	34.2000007629	36.2000007629	36.9000015259	
Ethiopia	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	73.4000015259	73.5	73.5	73.5999984741	73.6999969482	73.6999969482	73.6999969482	73.6999969482	73.6999969482	73.6999969482	74.0999984741	74.5999984741	75	75.5	75.9000015259	76.3000030518	76	75.5999984741	75.1999969482	74.6999969482	74.3000030518	74.1999969482	74.1999969482	
Euro area	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	47.6720872067	46.8206618732	44.7946289742	43.2860735792	42.109844875	41.0342241931	40.2707933925	39.944410597	40.0711277073	40.8471227207	40.998351366	40.1272766356	39.7781894784	39.3621645088	40.0463478875	40.7279368784	40.8981012753	41.396209746	41.4408536732	40.7882728447	39.5670702713	39.3599952926	38.7035332687	
Europe & Central Asia (all income levels)	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	47.6123443642	47.3297830597	45.990562598	43.9990000095	43.3514670138	42.4153921287	41.4584252473	40.3269073997	39.6834470994	40.2653303033	39.6995105067	38.6508498085	38.3522590339	37.4655506692	37.3544590255	37.181600171	37.4249878966	37.4464269999	37.8371272805	37.7644165039	37.089062289	37.0020923871	36.5616828368	
Europe & Central Asia (developing only)	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	41.6417677098	42.1240277166	41.4505057904	39.179482206	39.9403319484	38.8662223222	38.2993991171	37.280573718	36.7172040389	36.6695506997	34.6378091261	34.3378496045	33.8790499138	32.4948549934	31.9534654548	30.9362411129	30.8293395185	30.6071820947	30.7509746724	31.0786895417	31.2229074253	31.5503443961	31.4071944719	
European Union	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	49.9228492707	49.5114521984	47.6516296992	45.8497245981	44.5297772473	43.226383654	42.4455823216	41.9889065919	41.8845728476	41.8914811958	42.3480424658	41.5754161817	40.8517417328	40.0879643243	40.5235725822	40.6068470923	41.1749553252	41.1125512833	41.2634800251	40.652748169	39.8844313356	39.56204973	39.3773888091	
Faeroe Islands	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)																								
Fiji	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	27.6000003815	28.2000007629	28.7999992371	29.2999992371	30	30.6000003815	31.2999992371	31.2000007629	31.1000003815	31.1000003815	31.1000003815	31.2000007629	31.2999992371	31.5	31.6000003815	31.7000007629	31.6000003815	31.2999992371	31.1000003815	31.2000007629	31.2999992371	31.3999996185	31.5	
Finland	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	56.9000015259	53.0999984741	48	44.7000007629	41.2000007629	39.4000015259	39.2999992371	43.2999992371	44.9000015259	48.9000015259	51	50.9000015259	50.7000007629	50	48.7999992371	49.9000015259	50.4000015259	53.2999992371	53.4000015259	51.2999992371	49.5999984741	50.5999984741	52.2000007629	
Fragile and conflict affected situations	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	40.5624292878	40.4276406792	40.2571185876	40.0571503216	40.058919039	40.0996813971	40.0912277913	39.975119031	39.862506945	39.7559901177	39.7755146789	40.0649187167	40.3461420905	40.599858502	40.7062894558	40.6188962296	40.5740161032	40.5445228041	40.5149836963	40.3749264853	40.4054956255	40.3177919367	40.2118152609	
France	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	40.9000015259	37.7999992371	37.2000007629	36.4000015259	35.0999984741	34.7000007629	33.7000007629	32.4000015259	31.7999992371	31.8999996185	31.7000007629	31.1000003815	31.5	32.7000007629	32.9000015259	34.4000015259	34.5	35.5	35.2999992371	36.5999984741	35.5999984741	35	34.2999992371	
French Polynesia	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	40.9000015259	40.0999984741	39.2999992371	38.4000015259	37.2999992371	36	34.5	33.7000007629	32.9000015259	32.2000007629	31.7000007629	31.7000007629	31.8999996185	31.5	31.2000007629	30.8999996185	30.6000003815	30.3999996185	30.5	30.8999996185	31.1000003815	31.5	31.7999992371	
Gabon	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	31.3999996185	31.3999996185	31.3999996185	31.3999996185	30.6000003815	29.8999996185	29.1000003815	28.3999996185	27.7000007629	27	26.2999992371	25.7000007629	25	24.3999996185	23.8999996185	23.2999992371	23.3999996185	23.3999996185	23.3999996185	23.5	23.5	23.7000007629	23.7999992371	
Gambia, The	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	65.3000030518	65.1999969482	65.0999984741	65.0999984741	65	64.9000015259	64.8000030518	64.8000030518	64.8000030518	64.6999969482	64.6999969482	64.6999969482	64.6999969482	64.6999969482	64.6999969482	64.5999984741	64.5999984741	64.5	64.4000015259	64.3000030518	64.1999969482	64	63.7999992371	
Georgia	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	25.6000003815	28.2999992371	31.6000003815	30.8999996185	30.3999996185	30.6000003815	31.2000007629	31.5	31.6000003815	31.6000003815	28.1000003815	27.2000007629	24.7999992371	29.5	23.7999992371	24.3999996185	24	23.2999992371	23.2999992371	23.8999996185	23.6000003815	24.1000003815	24.6000003815	
Germany	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	56.5999984741	58.4000015259	56.0999984741	53.9000015259	52.5999984741	50	47.9000015259	47.4000015259	47.2999992371	48.5999984741	48.4000015259	48.0999984741	46.7000007629	44.7999992371	45.2999992371	47.2000007629	48.2999992371	49.7000007629	50.0999984741	49.5	48.7999992371	49.5999984741	47.7999992371	
