Country,Indicator,Year,Estimated,Data
"Macedonia, FYR",Prevalence of undernourishment in the population  (%),1990-92,,
Madagascar,Prevalence of undernourishment in the population  (%),1990-92,,24.8
Malawi,Prevalence of undernourishment in the population  (%),1990-92,,44.8
Malaysia,Prevalence of undernourishment in the population  (%),1990-92,1,4.6
Mali,Prevalence of undernourishment in the population  (%),1990-92,,25.3
Mauritania,Prevalence of undernourishment in the population  (%),1990-92,,12.4
Mauritius,Prevalence of undernourishment in the population  (%),1990-92,,8.6
Mexico,Prevalence of undernourishment in the population  (%),1990-92,1,3.3
Moldova,Prevalence of undernourishment in the population  (%),1990-92,,
Mongolia,Prevalence of undernourishment in the population  (%),1990-92,,37.5
Montenegro,Prevalence of undernourishment in the population  (%),1990-92,,
Morocco,Prevalence of undernourishment in the population  (%),1990-92,,7.1
Mozambique,Prevalence of undernourishment in the population  (%),1990-92,,57.1
Myanmar,Prevalence of undernourishment in the population  (%),1990-92,,
Namibia,Prevalence of undernourishment in the population  (%),1990-92,,37.5
Nepal,Prevalence of undernourishment in the population  (%),1990-92,,25.9
Nicaragua,Prevalence of undernourishment in the population  (%),1990-92,,55.1
Niger,Prevalence of undernourishment in the population  (%),1990-92,,36.9
Nigeria,Prevalence of undernourishment in the population  (%),1990-92,,19.3
North Korea,Prevalence of undernourishment in the population  (%),1990-92,,25.4
Oman,Prevalence of undernourishment in the population  (%),1990-92,,
Pakistan,Prevalence of undernourishment in the population  (%),1990-92,,26.4
Panama,Prevalence of undernourishment in the population  (%),1990-92,,22.8
Papua New Guinea,Prevalence of undernourishment in the population  (%),1990-92,,
Paraguay,Prevalence of undernourishment in the population  (%),1990-92,,19.7
Peru,Prevalence of undernourishment in the population  (%),1990-92,,32.6
Philippines,Prevalence of undernourishment in the population  (%),1990-92,,24.2
Qatar,Prevalence of undernourishment in the population  (%),1990-92,,
Romania,Prevalence of undernourishment in the population  (%),1990-92,1,2.2
Russian Federation,Prevalence of undernourishment in the population  (%),1990-92,,
Rwanda,Prevalence of undernourishment in the population  (%),1990-92,,52.6
Saudi Arabia,Prevalence of undernourishment in the population  (%),1990-92,1,3
Senegal,Prevalence of undernourishment in the population  (%),1990-92,,21.7
Serbia,Prevalence of undernourishment in the population  (%),1990-92,,
Sierra Leone,Prevalence of undernourishment in the population  (%),1990-92,,41.9
Slovak Republic,Prevalence of undernourishment in the population  (%),1990-92,,
Somalia,Prevalence of undernourishment in the population  (%),1990-92,,
South Africa,Prevalence of undernourishment in the population  (%),1990-92,1,5
Sri Lanka,Prevalence of undernourishment in the population  (%),1990-92,,33.9
Sudan (former),Prevalence of undernourishment in the population  (%),1990-92,,42.1
Suriname,Prevalence of undernourishment in the population  (%),1990-92,,17.7
Swaziland,Prevalence of undernourishment in the population  (%),1990-92,,16.1
Syrian Arab Republic,Prevalence of undernourishment in the population  (%),1990-92,1,4.8
Tajikistan,Prevalence of undernourishment in the population  (%),1990-92,,
Tanzania,Prevalence of undernourishment in the population  (%),1990-92,,29.4
Thailand,Prevalence of undernourishment in the population  (%),1990-92,,43.8
Timor-Leste,Prevalence of undernourishment in the population  (%),1990-92,,
Togo,Prevalence of undernourishment in the population  (%),1990-92,,32.8
Trinidad & Tobago,Prevalence of undernourishment in the population  (%),1990-92,,13.6
Tunisia,Prevalence of undernourishment in the population  (%),1990-92,1,0.9
Turkey,Prevalence of undernourishment in the population  (%),1990-92,1,0.5
Turkmenistan,Prevalence of undernourishment in the population  (%),1990-92,,
Uganda,Prevalence of undernourishment in the population  (%),1990-92,,26.6
Ukraine,Prevalence of undernourishment in the population  (%),1990-92,,
Uruguay,Prevalence of undernourishment in the population  (%),1990-92,,7.3
Uzbekistan,Prevalence of undernourishment in the population  (%),1990-92,,
"Venezuela, RB",Prevalence of undernourishment in the population  (%),1990-92,,13.5
Vietnam,Prevalence of undernourishment in the population  (%),1990-92,,46.9
"Yemen, Rep.",Prevalence of undernourishment in the population  (%),1990-92,,28.6
Zambia,Prevalence of undernourishment in the population  (%),1990-92,,34.3
Zimbabwe,Prevalence of undernourishment in the population  (%),1990-92,,44.1
Afghanistan,Prevalence of undernourishment in the population  (%),1994-96,,
Albania,Prevalence of undernourishment in the population  (%),1994-96,1,2.4
Algeria,Prevalence of undernourishment in the population  (%),1994-96,,6.4
Angola,Prevalence of undernourishment in the population  (%),1994-96,,56.4
Argentina,Prevalence of undernourishment in the population  (%),1994-96,1,1.2
Armenia,Prevalence of undernourishment in the population  (%),1994-96,,21.3
Azerbaijan,Prevalence of undernourishment in the population  (%),1994-96,,26.3
Bahrain,Prevalence of undernourishment in the population  (%),1994-96,,
Bangladesh,Prevalence of undernourishment in the population  (%),1994-96,,36.3
Belarus,Prevalence of undernourishment in the population  (%),1994-96,1,1.1
Benin,Prevalence of undernourishment in the population  (%),1994-96,,18.7
Bhutan,Prevalence of undernourishment in the population  (%),1994-96,,
Bolivia,Prevalence of undernourishment in the population  (%),1994-96,,30.7
Bosnia & Herzegovina,Prevalence of undernourishment in the population  (%),1994-96,1,6.4
Botswana,Prevalence of undernourishment in the population  (%),1994-96,,29.3
Brazil,Prevalence of undernourishment in the population  (%),1994-96,,13.5
Bulgaria,Prevalence of undernourishment in the population  (%),1994-96,1,7.8
Burkina Faso,Prevalence of undernourishment in the population  (%),1994-96,,18.6
Burundi,Prevalence of undernourishment in the population  (%),1994-96,,58.4
Cambodia,Prevalence of undernourishment in the population  (%),1994-96,,37.7
Cameroon,Prevalence of undernourishment in the population  (%),1994-96,,37.3
Central African Rep.,Prevalence of undernourishment in the population  (%),1994-96,,50.6
Chad,Prevalence of undernourishment in the population  (%),1994-96,,50.5
Chile,Prevalence of undernourishment in the population  (%),1994-96,,5.6
China,Prevalence of undernourishment in the population  (%),1994-96,,15.9
Colombia,Prevalence of undernourishment in the population  (%),1994-96,,14.7
Comoros,Prevalence of undernourishment in the population  (%),1994-96,,49.1
"Congo, Dem. Rep.",Prevalence of undernourishment in the population  (%),1994-96,,
"Congo, Rep.",Prevalence of undernourishment in the population  (%),1994-96,,44.7
Costa Rica,Prevalence of undernourishment in the population  (%),1994-96,,5
Croatia,Prevalence of undernourishment in the population  (%),1994-96,1,14.6
Cuba,Prevalence of undernourishment in the population  (%),1994-96,,16.1
Côte d'Ivoire,Prevalence of undernourishment in the population  (%),1994-96,,14
Djibouti,Prevalence of undernourishment in the population  (%),1994-96,,58.1
Dominican Republic,Prevalence of undernourishment in the population  (%),1994-96,,25.7
Ecuador,Prevalence of undernourishment in the population  (%),1994-96,,18.5
"Egypt, Arab Rep.",Prevalence of undernourishment in the population  (%),1994-96,1,1.6
El Salvador,Prevalence of undernourishment in the population  (%),1994-96,,14.2
Eritrea,Prevalence of undernourishment in the population  (%),1994-96,,71.8
Estonia,Prevalence of undernourishment in the population  (%),1994-96,1,6.4
Ethiopia,Prevalence of undernourishment in the population  (%),1994-96,,67.2
Fiji,Prevalence of undernourishment in the population  (%),1994-96,,5.7
Gabon,Prevalence of undernourishment in the population  (%),1994-96,,7.5
"Gambia, The",Prevalence of undernourishment in the population  (%),1994-96,,23.2
Georgia,Prevalence of undernourishment in the population  (%),1994-96,,42.3
Ghana,Prevalence of undernourishment in the population  (%),1994-96,,22.7
Guatemala,Prevalence of undernourishment in the population  (%),1994-96,,20.5
Guinea,Prevalence of undernourishment in the population  (%),1994-96,,22.1
Guinea-Bissau,Prevalence of undernourishment in the population  (%),1994-96,,23.1
Guyana,Prevalence of undernourishment in the population  (%),1994-96,,11.9
Haiti,Prevalence of undernourishment in the population  (%),1994-96,,59.1
Honduras,Prevalence of undernourishment in the population  (%),1994-96,,18.6
India,Prevalence of undernourishment in the population  (%),1994-96,,25.2
Indonesia,Prevalence of undernourishment in the population  (%),1994-96,,15.2
"Iran, Islamic Rep.",Prevalence of undernourishment in the population  (%),1994-96,1,3.5
Iraq,Prevalence of undernourishment in the population  (%),1994-96,,
Jamaica,Prevalence of undernourishment in the population  (%),1994-96,,8.1
Jordan,Prevalence of undernourishment in the population  (%),1994-96,,8.6
Kazakhstan,Prevalence of undernourishment in the population  (%),1994-96,1,0.8
Kenya,Prevalence of undernourishment in the population  (%),1994-96,,31.9
Kuwait,Prevalence of undernourishment in the population  (%),1994-96,1,4.8
Kyrgyz Republic,Prevalence of undernourishment in the population  (%),1994-96,,13.8
Lao PDR,Prevalence of undernourishment in the population  (%),1994-96,,44.1
Latvia,Prevalence of undernourishment in the population  (%),1994-96,1,2
Lebanon,Prevalence of undernourishment in the population  (%),1994-96,1,4
Lesotho,Prevalence of undernourishment in the population  (%),1994-96,,18
Liberia,Prevalence of undernourishment in the population  (%),1994-96,,39.2
Libya,Prevalence of undernourishment in the population  (%),1994-96,1,1.2
Lithuania,Prevalence of undernourishment in the population  (%),1994-96,1,4
"Macedonia, FYR",Prevalence of undernourishment in the population  (%),1994-96,1,12.3
Madagascar,Prevalence of undernourishment in the population  (%),1994-96,,30.3
Malawi,Prevalence of undernourishment in the population  (%),1994-96,,35.8
Malaysia,Prevalence of undernourishment in the population  (%),1994-96,1,2.2
Mali,Prevalence of undernourishment in the population  (%),1994-96,,26.1
Mauritania,Prevalence of undernourishment in the population  (%),1994-96,,10.5
Mauritius,Prevalence of undernourishment in the population  (%),1994-96,,7.5
Mexico,Prevalence of undernourishment in the population  (%),1994-96,1,3.2
Moldova,Prevalence of undernourishment in the population  (%),1994-96,1,15.4
Mongolia,Prevalence of undernourishment in the population  (%),1994-96,,48.5
Montenegro,Prevalence of undernourishment in the population  (%),1994-96,,
Morocco,Prevalence of undernourishment in the population  (%),1994-96,,6.5
Mozambique,Prevalence of undernourishment in the population  (%),1994-96,,51.7
Myanmar,Prevalence of undernourishment in the population  (%),1994-96,,
Namibia,Prevalence of undernourishment in the population  (%),1994-96,,37.2
Nepal,Prevalence of undernourishment in the population  (%),1994-96,,27.1
Nicaragua,Prevalence of undernourishment in the population  (%),1994-96,,44.9
Niger,Prevalence of undernourishment in the population  (%),1994-96,,36.3
Nigeria,Prevalence of undernourishment in the population  (%),1994-96,,11.7
North Korea,Prevalence of undernourishment in the population  (%),1994-96,,33.1
Oman,Prevalence of undernourishment in the population  (%),1994-96,,
Pakistan,Prevalence of undernourishment in the population  (%),1994-96,,23.2
Panama,Prevalence of undernourishment in the population  (%),1994-96,,23.3
Papua New Guinea,Prevalence of undernourishment in the population  (%),1994-96,,
Paraguay,Prevalence of undernourishment in the population  (%),1994-96,,15.3
Peru,Prevalence of undernourishment in the population  (%),1994-96,,25.7
Philippines,Prevalence of undernourishment in the population  (%),1994-96,,21.3
Qatar,Prevalence of undernourishment in the population  (%),1994-96,,
Romania,Prevalence of undernourishment in the population  (%),1994-96,1,2.1
Russian Federation,Prevalence of undernourishment in the population  (%),1994-96,1,5
Rwanda,Prevalence of undernourishment in the population  (%),1994-96,,60.1
Saudi Arabia,Prevalence of undernourishment in the population  (%),1994-96,1,3.4
Senegal,Prevalence of undernourishment in the population  (%),1994-96,,25.7
Serbia,Prevalence of undernourishment in the population  (%),1994-96,,
Sierra Leone,Prevalence of undernourishment in the population  (%),1994-96,,36.2
Slovak Republic,Prevalence of undernourishment in the population  (%),1994-96,1,3.5
Somalia,Prevalence of undernourishment in the population  (%),1994-96,,
South Africa,Prevalence of undernourishment in the population  (%),1994-96,,5.2
Sri Lanka,Prevalence of undernourishment in the population  (%),1994-96,,31.3
Sudan (former),Prevalence of undernourishment in the population  (%),1994-96,,32.7
Suriname,Prevalence of undernourishment in the population  (%),1994-96,,15.5
Swaziland,Prevalence of undernourishment in the population  (%),1994-96,,22.6
Syrian Arab Republic,Prevalence of undernourishment in the population  (%),1994-96,1,4.1
Tajikistan,Prevalence of undernourishment in the population  (%),1994-96,,34
Tanzania,Prevalence of undernourishment in the population  (%),1994-96,,38.5
Thailand,Prevalence of undernourishment in the population  (%),1994-96,,33.7
Timor-Leste,Prevalence of undernourishment in the population  (%),1994-96,,
Togo,Prevalence of undernourishment in the population  (%),1994-96,,26.8
Trinidad & Tobago,Prevalence of undernourishment in the population  (%),1994-96,,14.8
Tunisia,Prevalence of undernourishment in the population  (%),1994-96,1,1
Turkey,Prevalence of undernourishment in the population  (%),1994-96,1,0.6
Turkmenistan,Prevalence of undernourishment in the population  (%),1994-96,,10.2
Uganda,Prevalence of undernourishment in the population  (%),1994-96,,30.6
Ukraine,Prevalence of undernourishment in the population  (%),1994-96,1,3.9
Uruguay,Prevalence of undernourishment in the population  (%),1994-96,,5.1
Uzbekistan,Prevalence of undernourishment in the population  (%),1994-96,1,2.8
"Venezuela, RB",Prevalence of undernourishment in the population  (%),1994-96,,16.4
Vietnam,Prevalence of undernourishment in the population  (%),1994-96,,30.6
"Yemen, Rep.",Prevalence of undernourishment in the population  (%),1994-96,,31
Zambia,Prevalence of undernourishment in the population  (%),1994-96,,35.5
Zimbabwe,Prevalence of undernourishment in the population  (%),1994-96,,44.8
Afghanistan,Prevalence of undernourishment in the population  (%),1999-01,,
Albania,Prevalence of undernourishment in the population  (%),1999-01,1,3.8
Algeria,Prevalence of undernourishment in the population  (%),1999-01,,5.8
Angola,Prevalence of undernourishment in the population  (%),1999-01,,47.5
Argentina,Prevalence of undernourishment in the population  (%),1999-01,1,0.9
Armenia,Prevalence of undernourishment in the population  (%),1999-01,,19
Azerbaijan,Prevalence of undernourishment in the population  (%),1999-01,,14.7
Bahrain,Prevalence of undernourishment in the population  (%),1999-01,,
Bangladesh,Prevalence of undernourishment in the population  (%),1999-01,,18.4
Belarus,Prevalence of undernourishment in the population  (%),1999-01,1,2.3
Benin,Prevalence of undernourishment in the population  (%),1999-01,,16.4
Bhutan,Prevalence of undernourishment in the population  (%),1999-01,,
Bolivia,Prevalence of undernourishment in the population  (%),1999-01,,28.7
Bosnia & Herzegovina,Prevalence of undernourishment in the population  (%),1999-01,1,6.3
Botswana,Prevalence of undernourishment in the population  (%),1999-01,,34.5
Brazil,Prevalence of undernourishment in the population  (%),1999-01,,12.1
Bulgaria,Prevalence of undernourishment in the population  (%),1999-01,1,7
Burkina Faso,Prevalence of undernourishment in the population  (%),1999-01,,26.4
Burundi,Prevalence of undernourishment in the population  (%),1999-01,,63
Cambodia,Prevalence of undernourishment in the population  (%),1999-01,,33.8
Cameroon,Prevalence of undernourishment in the population  (%),1999-01,,29.1
Central African Rep.,Prevalence of undernourishment in the population  (%),1999-01,,45.1
Chad,Prevalence of undernourishment in the population  (%),1999-01,,41
Chile,Prevalence of undernourishment in the population  (%),1999-01,1,4.4
China,Prevalence of undernourishment in the population  (%),1999-01,,14.4
Colombia,Prevalence of undernourishment in the population  (%),1999-01,,13
Comoros,Prevalence of undernourishment in the population  (%),1999-01,,64.8
"Congo, Dem. Rep.",Prevalence of undernourishment in the population  (%),1999-01,,
"Congo, Rep.",Prevalence of undernourishment in the population  (%),1999-01,,30.1
Costa Rica,Prevalence of undernourishment in the population  (%),1999-01,1,4.4
Croatia,Prevalence of undernourishment in the population  (%),1999-01,1,11.6
Cuba,Prevalence of undernourishment in the population  (%),1999-01,1,2.8
Côte d'Ivoire,Prevalence of undernourishment in the population  (%),1999-01,,19.9
Djibouti,Prevalence of undernourishment in the population  (%),1999-01,,47.1
Dominican Republic,Prevalence of undernourishment in the population  (%),1999-01,,21.6
Ecuador,Prevalence of undernourishment in the population  (%),1999-01,,20.9
"Egypt, Arab Rep.",Prevalence of undernourishment in the population  (%),1999-01,1,1.5
El Salvador,Prevalence of undernourishment in the population  (%),1999-01,,9.2
Eritrea,Prevalence of undernourishment in the population  (%),1999-01,,76.2
Estonia,Prevalence of undernourishment in the population  (%),1999-01,1,4.3
Ethiopia,Prevalence of undernourishment in the population  (%),1999-01,,55.3
Fiji,Prevalence of undernourishment in the population  (%),1999-01,1,4.8
Gabon,Prevalence of undernourishment in the population  (%),1999-01,,6.3
"Gambia, The",Prevalence of undernourishment in the population  (%),1999-01,,19.8
Georgia,Prevalence of undernourishment in the population  (%),1999-01,,21.5
Ghana,Prevalence of undernourishment in the population  (%),1999-01,,16.6
Guatemala,Prevalence of undernourishment in the population  (%),1999-01,,26.5
Guinea,Prevalence of undernourishment in the population  (%),1999-01,,20.6
Guinea-Bissau,Prevalence of undernourishment in the population  (%),1999-01,,21.4
Guyana,Prevalence of undernourishment in the population  (%),1999-01,,7.9
Haiti,Prevalence of undernourishment in the population  (%),1999-01,,53
Honduras,Prevalence of undernourishment in the population  (%),1999-01,,16.3
India,Prevalence of undernourishment in the population  (%),1999-01,,21.3
Indonesia,Prevalence of undernourishment in the population  (%),1999-01,,17.8
"Iran, Islamic Rep.",Prevalence of undernourishment in the population  (%),1999-01,1,4.3
Iraq,Prevalence of undernourishment in the population  (%),1999-01,,
Jamaica,Prevalence of undernourishment in the population  (%),1999-01,,6.9
Jordan,Prevalence of undernourishment in the population  (%),1999-01,,6.1
Kazakhstan,Prevalence of undernourishment in the population  (%),1999-01,,8
Kenya,Prevalence of undernourishment in the population  (%),1999-01,,32.8
Kuwait,Prevalence of undernourishment in the population  (%),1999-01,1,1.6
Kyrgyz Republic,Prevalence of undernourishment in the population  (%),1999-01,,15.8
Lao PDR,Prevalence of undernourishment in the population  (%),1999-01,,39.5
Latvia,Prevalence of undernourishment in the population  (%),1999-01,1,5.6
Lebanon,Prevalence of undernourishment in the population  (%),1999-01,1,3.5
Lesotho,Prevalence of undernourishment in the population  (%),1999-01,,17.1
Liberia,Prevalence of undernourishment in the population  (%),1999-01,,34.9
Libya,Prevalence of undernourishment in the population  (%),1999-01,1,1.6
Lithuania,Prevalence of undernourishment in the population  (%),1999-01,1,2.3
"Macedonia, FYR",Prevalence of undernourishment in the population  (%),1999-01,1,6.8
Madagascar,Prevalence of undernourishment in the population  (%),1999-01,,32.4
Malawi,Prevalence of undernourishment in the population  (%),1999-01,,26.8
Malaysia,Prevalence of undernourishment in the population  (%),1999-01,1,2.9
Mali,Prevalence of undernourishment in the population  (%),1999-01,,21.5
Mauritania,Prevalence of undernourishment in the population  (%),1999-01,,9.4
Mauritius,Prevalence of undernourishment in the population  (%),1999-01,,6.5
Mexico,Prevalence of undernourishment in the population  (%),1999-01,1,3.1
Moldova,Prevalence of undernourishment in the population  (%),1999-01,1,19.8
Mongolia,Prevalence of undernourishment in the population  (%),1999-01,,37.6
Montenegro,Prevalence of undernourishment in the population  (%),1999-01,,
Morocco,Prevalence of undernourishment in the population  (%),1999-01,,6.2
Mozambique,Prevalence of undernourishment in the population  (%),1999-01,,45.3
Myanmar,Prevalence of undernourishment in the population  (%),1999-01,,
Namibia,Prevalence of undernourishment in the population  (%),1999-01,,24.9
Nepal,Prevalence of undernourishment in the population  (%),1999-01,,24.5
Nicaragua,Prevalence of undernourishment in the population  (%),1999-01,,34.3
Niger,Prevalence of undernourishment in the population  (%),1999-01,,25.8
Nigeria,Prevalence of undernourishment in the population  (%),1999-01,,10.2
North Korea,Prevalence of undernourishment in the population  (%),1999-01,,37
Oman,Prevalence of undernourishment in the population  (%),1999-01,,
Pakistan,Prevalence of undernourishment in the population  (%),1999-01,,24
Panama,Prevalence of undernourishment in the population  (%),1999-01,,25.7
Papua New Guinea,Prevalence of undernourishment in the population  (%),1999-01,,
Paraguay,Prevalence of undernourishment in the population  (%),1999-01,,13
Peru,Prevalence of undernourishment in the population  (%),1999-01,,22.5
Philippines,Prevalence of undernourishment in the population  (%),1999-01,,20.9
Qatar,Prevalence of undernourishment in the population  (%),1999-01,,
Romania,Prevalence of undernourishment in the population  (%),1999-01,1,1.3
Russian Federation,Prevalence of undernourishment in the population  (%),1999-01,1,4.7
Rwanda,Prevalence of undernourishment in the population  (%),1999-01,,46.5
Saudi Arabia,Prevalence of undernourishment in the population  (%),1999-01,1,1.3
Senegal,Prevalence of undernourishment in the population  (%),1999-01,,24.2
Serbia,Prevalence of undernourishment in the population  (%),1999-01,,
Sierra Leone,Prevalence of undernourishment in the population  (%),1999-01,,41.1
Slovak Republic,Prevalence of undernourishment in the population  (%),1999-01,1,5.3
Somalia,Prevalence of undernourishment in the population  (%),1999-01,,
South Africa,Prevalence of undernourishment in the population  (%),1999-01,1,4.8
Sri Lanka,Prevalence of undernourishment in the population  (%),1999-01,,28.7
Sudan (former),Prevalence of undernourishment in the population  (%),1999-01,,31.7
Suriname,Prevalence of undernourishment in the population  (%),1999-01,,17.9
Swaziland,Prevalence of undernourishment in the population  (%),1999-01,,17.7
Syrian Arab Republic,Prevalence of undernourishment in the population  (%),1999-01,1,3.5
Tajikistan,Prevalence of undernourishment in the population  (%),1999-01,,40.8
Tanzania,Prevalence of undernourishment in the population  (%),1999-01,,40.4
Thailand,Prevalence of undernourishment in the population  (%),1999-01,,19.6
Timor-Leste,Prevalence of undernourishment in the population  (%),1999-01,,
Togo,Prevalence of undernourishment in the population  (%),1999-01,,25.2
Trinidad & Tobago,Prevalence of undernourishment in the population  (%),1999-01,,13
Tunisia,Prevalence of undernourishment in the population  (%),1999-01,1,0.7
Turkey,Prevalence of undernourishment in the population  (%),1999-01,1,0.9
Turkmenistan,Prevalence of undernourishment in the population  (%),1999-01,,8.1
Uganda,Prevalence of undernourishment in the population  (%),1999-01,,26.5
Ukraine,Prevalence of undernourishment in the population  (%),1999-01,1,4.2
Uruguay,Prevalence of undernourishment in the population  (%),1999-01,1,4.3
Uzbekistan,Prevalence of undernourishment in the population  (%),1999-01,,14.7
"Venezuela, RB",Prevalence of undernourishment in the population  (%),1999-01,,15.5
Vietnam,Prevalence of undernourishment in the population  (%),1999-01,,22
"Yemen, Rep.",Prevalence of undernourishment in the population  (%),1999-01,,30.4
Zambia,Prevalence of undernourishment in the population  (%),1999-01,,43.9
Zimbabwe,Prevalence of undernourishment in the population  (%),1999-01,,43.1
Afghanistan,Prevalence of undernourishment in the population  (%),2004-06,,
Albania,Prevalence of undernourishment in the population  (%),2004-06,1,9.7
Algeria,Prevalence of undernourishment in the population  (%),2004-06,1,5
Angola,Prevalence of undernourishment in the population  (%),2004-06,,35.1
Argentina,Prevalence of undernourishment in the population  (%),2004-06,1,1.9
Armenia,Prevalence of undernourishment in the population  (%),2004-06,,5.4
Azerbaijan,Prevalence of undernourishment in the population  (%),2004-06,1,2.2
Bahrain,Prevalence of undernourishment in the population  (%),2004-06,,
Bangladesh,Prevalence of undernourishment in the population  (%),2004-06,,15.1
Belarus,Prevalence of undernourishment in the population  (%),2004-06,1,2.8
Benin,Prevalence of undernourishment in the population  (%),2004-06,,13.1
Bhutan,Prevalence of undernourishment in the population  (%),2004-06,,
Bolivia,Prevalence of undernourishment in the population  (%),2004-06,,29.1
Bosnia & Herzegovina,Prevalence of undernourishment in the population  (%),2004-06,1,2.1
Botswana,Prevalence of undernourishment in the population  (%),2004-06,,32.9
Brazil,Prevalence of undernourishment in the population  (%),2004-06,,8.7
Bulgaria,Prevalence of undernourishment in the population  (%),2004-06,1,7.9
Burkina Faso,Prevalence of undernourishment in the population  (%),2004-06,,25.8
Burundi,Prevalence of undernourishment in the population  (%),2004-06,,67.9
Cambodia,Prevalence of undernourishment in the population  (%),2004-06,,27.4
Cameroon,Prevalence of undernourishment in the population  (%),2004-06,,19.5
Central African Rep.,Prevalence of undernourishment in the population  (%),2004-06,,40.6
