Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Bangladesh,BGD,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,71.1,,,70.9,,,,63.4,76.7,74.5,72.1,70.1,68.5,66.5,59.7,61.8,62.4,50.8,55.4,53.5,49.8,50.5,47.8,47,43.2,,,,41.4,,
Barbados,BRB,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,
Belgium,BEL,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,BLZ,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.2,,,,,19.3,,
Benin,BEN,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.5,,,,,39.1,,,,,44.7,,,,,,,
Bermuda,BMU,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.9,,,,,,,,,,,,47.7,,,,,,,,,34.9,,33.6,,,
Bolivia,BOL,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,48.6,,,,,,,,41.7,,,,,35.2,,,,33.1,,,,,32.5,,,,,27.2,,,,,
Bosnia and Herzegovina,BIH,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,,,,,,11.8,,,,,,8.9,
Botswana,BWA,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.1,,,,29.1,,,,,,,31.4,,,,,,
Brazil,BRA,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4,,,,,,,13.5,,,,,,,,,,,7.1,,,,,,
Brunei Darussalam,BRN,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,BGR,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,,,,,,,,,
Burkina Faso,BFA,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7,,,,,,45.5,,,,43.1,,,42.4,,,35.1,35.1,,,
Burundi,BDI,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.7,,,,,,,,,,,,,63.1,,,,,57.7,,,,,57.5,,,
Cabo Verde,CPV,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,23.3,,31.9,,,,,,,,,21.4,,,,,,,,,,,,,,,,,,,
Cambodia,KHM,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.6,,,,49.2,,,,,43.7,,,39.5,,40.9,,,
Cameroon,CMR,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.3,,,,,,,36.7,,,,,,35.4,,36.4,,,,,32.6,,
Canada,CAN,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caribbean small states,CSS,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2,34.6,,,,,44.6,,,,,,45.1,,,,,,,
Chad,TCD,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,39.3,,,,44.8,,,,,,,,,
Channel Islands,CHI,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,,,,,,,,4.2,3.9,3.7,,3.3,3.1,,2.8,2.5,2.5,2.4,,2.2,2.1,2,,,,,
China,CHN,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3,,38,,,31.2,,,19.8,,17.8,,21.8,,,11.7,,,13.7,12.6,9.4,,,
Colombia,COL,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,38.1,,,,,,,,,,,,,28.2,,,,,,,25.9,,,21.8,,,,,,19.7,,,,,18.1,,,,,16.2,,,,,12.7,,,
Comoros,COM,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.2,,,,41.4,,,,46.9,,,,,,,,,,,,,
"Congo, Dem. Rep.",ZAR,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,44.4,,,,,,45.8,,,43.5,,,
"Congo, Rep.",COG,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.6,,,,,,,,,,,,,,,,,,31.2,,,,,,,,
Costa Rica,CRI,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,9,,,,,,,,,,,,5.6,,,,,
Cote d'Ivoire,CIV,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,,,,,,,,31.5,,,,31.5,,,,,,,,40.1,39,,,,,,
Croatia,HRV,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,1.6,1.4,,,,,,,,,,,,,,,,,
Cuba,CUB,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,
Curacao,CUW,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,CZE,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,,,,,,,,,2.6,,,,,,,,,,,,
Denmark,DNK,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,31.7,,,,,,26.5,,,,32.6,,,,,,33.5,
Dominica,DMA,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,22.2,,,,,21.2,,,,,13.9,,,,8,,11.7,,,,10.5,10.1,,,,,,
East Asia & Pacific (all income levels),EAS,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (developing only),EAP,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,61.90688,,,,,52.23059,,,,,42.25309,,,,,33.24675,,,,,25.31846,,,,,18.74976,,,,,13.57548,,11.86928,
East Asia and the Pacific (IFC classification),CEA,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2,,,,,,,,,,,,32.5,,,,,,29,,,,,,,,,
"Egypt, Arab Rep.",EGY,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,43.8,,,,,,,,,,36.6,,,34.9,,31.3,,34.9,,30.9,26.3,,24.6,,,20.3,,23.8,,,30.7,,,,,
El Salvador,SLV,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,56.2,,,,,,,,,,,,,36.7,,,,,29.5,,,,,32.3,,,,,24.6,,,,,20.6,,,,,
Equatorial Guinea,GNQ,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.7,,,42.6,,,,35,,,,,,,,,
Eritrea,ERI,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.6,,44.4,,,,,,,43.7,,,,,,,,,,,
Estonia,EST,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,ETH,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.1,,,,,,,,57.4,,,,,50.7,,,,,,44.2,,
Euro area,EMU,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (all income levels),ECS,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (developing only),ECA,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,31.10729,,,,,25.68322,,,,,27.48652,,,,,22.82672,,,,,18.7526,,,,,15.26182,,,,,12.3223,,11.2898,
Europe and Central Asia (IFC classification),CEU,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union,EUU,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faeroe Islands,FRO,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,FJI,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,7.5,,,,,,,,,
Finland,FIN,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,FRA,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,PYF,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.3,,,,,,,,,,,,17.5,
"Gambia, The",GMB,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.1,,,,24.1,,,,,,27.6,,,,,,,
Georgia,GEO,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1,,,,,,14.7,,,,11.3,,,,
Germany,DEU,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,
Ghana,GHA,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.7,,,,,33.5,,,,,,31.3,,,,35.6,,,28.1,,28.6,,,,,
Greece,GRC,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,GRL,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,GRD,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,GUM,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.1,,,,,,,,55.4,,,,53.1,50,,54.3,,,,,,,48,,,,
Guinea,GIN,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.3,,,,,34.3,46.9,,,,,39.3,,40,,,,,35.8,
Guinea-Bissau,GNB,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.1,,,,,,47.7,,27.7,,,,,
Guyana,GUY,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,29.6,,,,,,,,,,26.4,,,,,,,,,,,,,,,,14,,,13.8,,,,,,18.2,,,19.5,,,,
Haiti,HTI,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,45.7,,,,,,,,,,,,40.1,,,,37.2,,,,,,28.3,,,,,,29.7,,,,,,,
Heavily indebted poor countries (HIPC),HPC,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High income,HIC,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,4.111776,,,,,4.011571,,,,,4.656524,,,,,4.144691,,,,,3.686942,,,,,3.278018,,,,,2.913077,,2.778408,
High income: nonOECD,NOC,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High income: OECD,OEC,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,HND,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.3,,,,,42.5,,45.7,,43.3,,,,,34.5,,,,,29.9,,,,,,,
"Hong Kong SAR, China",HKG,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,HUN,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,75.1,,,,,,,,,,,,66.2,,,57.1,,,,,48.5,,51,,,,,,,47.9,,,,,,,
Indonesia,IDN,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.4,41.6,,,28.6,,,40.1,,,39.2,,,
"Iran, Islamic Rep.",IRN,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.4,,,20.4,,,,,,7.1,,,,,,,,,
Iraq,IRQ,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.6,,,,,,,,,28.3,,,33.7,20,,27.5,,,,,,,
Ireland,IRL,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isle of Man,IMY,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,ISR,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,ITA,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,JAM,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,16.6,,,,,,,,,,,12.4,,9.1,14.7,13.5,11.9,9.5,11.1,8.6,8.3,6.3,6.6,6.4,6.6,,4.5,,5.6,3.8,5.2,,4.8,,,
Japan,JPN,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,JOR,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,,,,,,,11.1,,,,,12,,,,,,,8.3,,,,
Kazakhstan,KAZ,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,13.9,,,,,,,17.5,,,,13.1,,,
Kenya,KEN,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,41.6,,,,44.3,,,,,38.4,,,,,,40.2,39.8,,,,37,,41,,,35.8,,40.9,,,,35.2,,,,
Kiribati,KIR,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,34.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. Rep.",PRK,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,44.7,,43.1,,,,,32.4,,,,
"Korea, Rep.",KOR,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,
Kosovo,KSV,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,KWT,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,16.7,,,,,,,,,,14.9,,5,,,,,4,3.6,3.9,4.1,4.5,4.6,5.1,5.1,3.8,4.1,4,4.3,
Kyrgyz Republic,KGZ,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.6,,,,,,,,,18.1,,,,,,,
Lao PDR,LAO,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.6,52.9,,,,,,48.2,,,,,,47.6,,,,,,,
Latin America & Caribbean (all income levels),LCN,"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
